pic_id,response,n,i,j,data_id,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,target
1,20,16,1,1,1,3,turk16-plain,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/311ad7dac474b1fe447089649aa8bc47.svg,turk16,111,set-1-k-3-sdline-0.25-sdgroup-0.25,TRUE
2,1,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,2,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,3,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,4,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,5,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,6,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,7,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,8,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,9,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,10,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,11,4,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,TRUE
2,12,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,13,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,14,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
