study,test_param,pic_id,pic_name,obs_plot_location,response_no,n
turk4,euc,256,euc_line10_2_0_13.png,13,16,0
turk4,euc,256,euc_line10_2_0_13.png,13,17,0
turk4,euc,256,euc_line10_2_0_13.png,13,18,1
turk4,euc,256,euc_line10_2_0_13.png,13,19,0
turk4,euc,256,euc_line10_2_0_13.png,13,20,0
turk4,euc,257,euc_line10_2_180_15.png,15,1,0
turk4,euc,257,euc_line10_2_180_15.png,15,2,0
turk4,euc,257,euc_line10_2_180_15.png,15,3,0
turk4,euc,257,euc_line10_2_180_15.png,15,4,0
turk4,euc,257,euc_line10_2_180_15.png,15,5,0
turk4,euc,257,euc_line10_2_180_15.png,15,6,0
turk4,euc,257,euc_line10_2_180_15.png,15,7,0
turk4,euc,257,euc_line10_2_180_15.png,15,8,0
turk4,euc,257,euc_line10_2_180_15.png,15,9,0
turk4,euc,257,euc_line10_2_180_15.png,15,10,0
turk4,euc,257,euc_line10_2_180_15.png,15,11,0
turk4,euc,257,euc_line10_2_180_15.png,15,12,0
turk4,euc,257,euc_line10_2_180_15.png,15,13,0
turk4,euc,257,euc_line10_2_180_15.png,15,14,0
turk4,euc,257,euc_line10_2_180_15.png,15,15,7
turk4,euc,257,euc_line10_2_180_15.png,15,16,0
turk4,euc,257,euc_line10_2_180_15.png,15,17,0
turk4,euc,257,euc_line10_2_180_15.png,15,18,0
turk4,euc,257,euc_line10_2_180_15.png,15,19,0
turk4,euc,257,euc_line10_2_180_15.png,15,20,0
turk4,euc,258,euc_line10_2_270_6.png,6,1,0
turk4,euc,258,euc_line10_2_270_6.png,6,2,0
turk4,euc,258,euc_line10_2_270_6.png,6,3,0
turk4,euc,258,euc_line10_2_270_6.png,6,4,0
turk4,euc,258,euc_line10_2_270_6.png,6,5,0
turk4,euc,258,euc_line10_2_270_6.png,6,6,5
turk4,euc,258,euc_line10_2_270_6.png,6,7,0
turk4,euc,258,euc_line10_2_270_6.png,6,8,0
turk4,euc,258,euc_line10_2_270_6.png,6,9,0
turk4,euc,258,euc_line10_2_270_6.png,6,10,0
turk4,euc,258,euc_line10_2_270_6.png,6,11,0
turk4,euc,258,euc_line10_2_270_6.png,6,12,0
turk4,euc,258,euc_line10_2_270_6.png,6,13,0
turk4,euc,258,euc_line10_2_270_6.png,6,14,0
turk4,euc,258,euc_line10_2_270_6.png,6,15,0
turk4,euc,258,euc_line10_2_270_6.png,6,16,0
turk4,euc,258,euc_line10_2_270_6.png,6,17,0
